month,year,account_name,account_type,owner,symbol,name,sector,qty,purchase_price,purchase_date
11,2025,Fidelity,Traditional,Joint,MF:CASH,Money Market,MF:Cash,95050.0,1.0,2023-01-01
11,2025,Fidelity,Traditional,Joint,VEXAX,Vanguard Extended Market Index Admiral,MF:Mid-Cap Blend,1250.0,120.0,2021-06-15
11,2025,Fidelity,Traditional,Joint,VFIAX,Vanguard 500 Index Admiral,MF:Large-Cap Blend,900.0,450.0,2020-03-10
11,2025,Fidelity,Traditional,Joint,VSMAX,Vanguard Small-Cap Index Admiral,MF:Small-Cap Blend,1250.0,95.0,2021-09-20
11,2025,PNC,Savings,Joint,MF:CASH,Money Market,MF:Cash,54200.0,1.0,2023-01-01
11,2025,Schwab,Brokerage,Joint,GOOGL,Alphabet Class A,Technology,75.0,140.0,2022-04-01
11,2025,Schwab,Roth,Joint,JNJ,Johnson & Johnson,Healthcare,150.0,165.0,2020-11-05
11,2025,Schwab,Roth,Joint,KO,Coca-Cola,Consumer Defensive,400.0,62.5,2019-08-14
11,2025,Schwab,Brokerage,Joint,META,Meta Platforms,Technology,60.0,450.0,2023-01-20
11,2025,Schwab,Roth,Joint,MF:CASH,Money Market,MF:Cash,55650.0,1.0,2023-01-01
11,2025,Schwab,Brokerage,Joint,MF:CASH,Money Market,MF:Cash,90900.0,1.0,2023-01-01
11,2025,Schwab,Brokerage,Joint,NFLX,Netflix,Communication Services,50.0,600.0,2022-07-11
11,2025,Schwab,Brokerage,Joint,NVDA,NVIDIA,Technology,80.0,500.0,2023-02-28
11,2025,Schwab,Roth,Joint,PG,Procter & Gamble,Consumer Defensive,200.0,155.0,2021-03-22
11,2025,Schwab,Roth,Joint,T,AT&T,Communication Services,800.0,20.0,2020-05-30
11,2025,Schwab,Brokerage,Joint,TSLA,Tesla,Automotive,100.0,250.0,2022-11-01
11,2025,Schwab,Roth,Joint,VZ,Verizon,Communication Services,350.0,42.0,2021-01-15
12,2025,Fidelity,Traditional,Joint,MF:CASH,Money Market,MF:Cash,86250.0,1.0,2023-01-01
12,2025,Fidelity,Traditional,Joint,VEXAX,Vanguard Extended Market Index Admiral,MF:Mid-Cap Blend,2200.0,120.0,2021-06-15
12,2025,Fidelity,Traditional,Joint,VFIAX,Vanguard 500 Index Admiral,MF:Large-Cap Blend,900.0,450.0,2020-03-10
12,2025,Fidelity,Traditional,Joint,VSMAX,Vanguard Small-Cap Index Admiral,MF:Small-Cap Blend,2250.0,95.0,2021-09-20
12,2025,PNC,Savings,Joint,MF:CASH,Money Market,MF:Cash,55000.0,1.0,2023-01-01
12,2025,Schwab,Brokerage,Joint,GOOGL,Alphabet Class A,Technology,75.0,140.0,2022-04-01
12,2025,Schwab,Roth,Joint,JNJ,Johnson & Johnson,Healthcare,150.0,165.0,2020-11-05
12,2025,Schwab,Roth,Joint,KO,Coca-Cola,Consumer Defensive,400.0,62.5,2019-08-14
12,2025,Schwab,Brokerage,Joint,META,Meta Platforms,Technology,60.0,450.0,2023-01-20
12,2025,Schwab,Roth,Joint,MF:CASH,Money Market,MF:Cash,53550.0,1.0,2023-01-01
12,2025,Schwab,Brokerage,Joint,MF:CASH,Money Market,MF:Cash,87500.0,1.0,2023-01-01
12,2025,Schwab,Brokerage,Joint,NFLX,Netflix,Communication Services,50.0,600.0,2022-07-11
12,2025,Schwab,Brokerage,Joint,NVDA,NVIDIA,Technology,80.0,500.0,2023-02-28
12,2025,Schwab,Roth,Joint,PG,Procter & Gamble,Consumer Defensive,200.0,155.0,2021-03-22
12,2025,Schwab,Roth,Joint,T,AT&T,Communication Services,800.0,20.0,2020-05-30
12,2025,Schwab,Brokerage,Joint,TSLA,Tesla,Automotive,100.0,250.0,2022-11-01
12,2025,Schwab,Roth,Joint,VZ,Verizon,Communication Services,350.0,42.0,2021-01-15
1,2026,CAPGEMINI SAFE HARBOR 401(K) PLAN,Traditional,Spouse,0769,MIP II CL 3,MF:Cash,554427.38,1.0,
1,2026,Fidelity,Traditional,Joint,MF:CASH,Money Market,MF:Cash,100000.0,1.0,2023-01-01
1,2026,Fidelity,Traditional,Joint,VEXAX,Vanguard Extended Market Index Admiral,MF:Mid-Cap Blend,2250.0,120.0,2021-06-15
1,2026,Fidelity,Traditional,Joint,VFIAX,Vanguard 500 Index Admiral,MF:Large-Cap Blend,900.0,450.0,2020-03-10
1,2026,Fidelity,Traditional,Joint,VSMAX,Vanguard Small-Cap Index Admiral,MF:Small-Cap Blend,3250.0,95.0,2021-09-20
1,2026,IBM 401(K) PLAN,Traditional,Primary,FPBFX,Fidelity Pacific-Basin Fund,MF:Global,24927.559,41.14,
1,2026,IBM 401(K) PLAN,Traditional,Primary,PRRSX,PIMCO Funds Real Estate Return Strategy Fund Class Institutional,MF:Reit,34224.815,26.84,
1,2026,IBM 401(K) PLAN,Traditional,Primary,VPCCX,Vanguard PRIMECAP Core Fund Investor,MF:Large-Cap,25650.831,40.6,
1,2026,IBM 401(K) PLAN,Traditional,Primary,VUSUX,Vanguard Long-Term Treasury Fund Admiral,MF:Bonds,118500.284,7.9,
1,2026,PNC,Savings,Joint,MF:CASH,Money Market,MF:Cash,200000.0,1.0,2023-01-01
1,2026,Schwab,Brokerage,Joint,GOOGL,Alphabet Class A,Technology,75.0,140.0,2022-04-01
1,2026,Schwab,Roth,Joint,JNJ,Johnson & Johnson,Healthcare,1150.0,165.0,2020-11-05
1,2026,Schwab,Roth,Joint,KO,Coca-Cola,Consumer Defensive,1400.0,62.5,2019-08-14
1,2026,Schwab,Brokerage,Joint,META,Meta Platforms,Technology,160.0,450.0,2023-01-20
1,2026,Schwab,Roth,Joint,MF:CASH,Money Market,MF:Cash,53550.0,1.0,2023-01-01
1,2026,Schwab,Brokerage,Joint,MF:CASH,Money Market,MF:Cash,87500.0,1.0,2023-01-01
1,2026,Schwab,Brokerage,Joint,NFLX,Netflix,Communication Services,50.0,600.0,2022-07-11
1,2026,Schwab,Brokerage,Joint,NVDA,NVIDIA,Technology,80.0,500.0,2023-02-28
1,2026,Schwab,Roth,Joint,PG,Procter & Gamble,Consumer Defensive,200.0,155.0,2021-03-22
1,2026,Schwab,Roth,Joint,T,AT&T,Communication Services,800.0,20.0,2020-05-30
1,2026,Schwab,Brokerage,Joint,TSLA,Tesla,Automotive,100.0,250.0,2022-11-01
1,2026,Schwab,Roth,Joint,VZ,Verizon,Communication Services,350.0,42.0,2021-01-15
2,2026,CAPGEMINI SAFE HARBOR 401(K) PLAN,Traditional,Spouse,0769,MIP II CL 3,MF:Cash,554477.38,1.0,
2,2026,Fidelity,Traditional,Joint,MF:CASH,Money Market,MF:Cash,100000.0,1.0,2023-01-01
2,2026,Fidelity,Traditional,Joint,VEXAX,Vanguard Extended Market Index Admiral,MF:Mid-Cap Blend,2250.0,120.0,2021-06-15
2,2026,Fidelity,Traditional,Joint,VFIAX,Vanguard 500 Index Admiral,MF:Large-Cap Blend,900.0,450.0,2020-03-10
2,2026,Fidelity,Traditional,Joint,VSMAX,Vanguard Small-Cap Index Admiral,MF:Small-Cap Blend,3250.0,95.0,2021-09-20
2,2026,IBM 401(K) PLAN,Traditional,Primary,FPBFX,Fidelity Pacific-Basin Fund,MF:Global,24957.559,41.14,
2,2026,IBM 401(K) PLAN,Traditional,Primary,PRRSX,PIMCO Funds Real Estate Return Strategy Fund Class Institutional,MF:Reit,34254.815,26.84,
2,2026,IBM 401(K) PLAN,Traditional,Primary,VPCCX,Vanguard PRIMECAP Core Fund Investor,MF:Large-Cap,25670.831,40.6,
2,2026,IBM 401(K) PLAN,Traditional,Primary,VUSUX,Vanguard Long-Term Treasury Fund Admiral,MF:Bonds,118550.284,7.9,
